"mapping_no","source_system","source_entity_code","source_entity_name","normalized_name","entity_type","legal_entity_candidate","business_domain_candidate","department_candidate","store_candidate","head_office_candidate","direct_or_fc","fc_company_candidate","accounting_entity_candidate","core_uuid","valid_from","valid_to","status","successor_entity","evidence","confidence","accounting_approval","core_master_approval","sales_approval","management_approval","final_status","unresolved_question","notes"
"EM-013","yayoi_excel","YAYOI-013","BASSA国分寺店","国分寺店","store","TBD","美容室事業","TBD","国分寺店","not_required","unknown","not_required","BASSA国分寺店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#14; ../../../accounting/yayoi-excel-structure-audit.md","medium","pending","pending","pending","pending","under_review","FC国分寺との同一店舗・移管関係を確認","名称候補一致; 手動確認; FC国分寺との同一店舗・移管関係を確認"
"EM-014","yayoi_excel","YAYOI-014","BASSA高田馬場店","高田馬場店","store","TBD","美容室事業","営業部候補","高田馬場店","not_required","Direct","not_required","BASSA高田馬場店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#15; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","Core実値と法人帰属を未取得","名称候補一致; 手動確認"
"EM-015","yayoi_excel","YAYOI-015","BASSA上石神井店","上石神井店","store","TBD","美容室事業","営業部候補","上石神井店","not_required","Direct","not_required","BASSA上石神井店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#16; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","Core実値と法人帰属を未取得","名称候補一致; 手動確認"
"EM-016","yayoi_excel","YAYOI-016","BASSA保谷店","保谷店","store","TBD","美容室事業","営業部候補","保谷店","not_required","Direct","not_required","BASSA保谷店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#17; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","Core実値と法人帰属を未取得","名称候補一致; 手動確認"
"EM-017","yayoi_excel","YAYOI-017","BASSA東大和店","東大和店","store","TBD","美容室事業","営業部候補","東大和店","not_required","Direct","not_required","BASSA東大和店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#18; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","Core実値と法人帰属を未取得","名称候補一致; 手動確認"
"EM-018","yayoi_excel","YAYOI-018","BASSA下井草店","下井草店","store","TBD","美容室事業","営業部候補","下井草店","not_required","Direct","not_required","BASSA下井草店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#19; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","Core実値と法人帰属を未取得","名称候補一致; 手動確認"
"EM-019","yayoi_excel","YAYOI-019","BASSA石神井公園店","石神井公園店","store","TBD","美容室事業","営業部候補","石神井公園店","not_required","Direct","not_required","BASSA石神井公園店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#20; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","Core実値と法人帰属を未取得","名称候補一致; 手動確認"
"EM-020","yayoi_excel","YAYOI-020","BASSA東久留米店","東久留米店","store","TBD","美容室事業","TBD","東久留米店","not_required","unknown","not_required","BASSA東久留米店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#21; ../../../accounting/yayoi-excel-structure-audit.md","medium","pending","pending","pending","pending","under_review","FC東久留米との同一店舗・移管関係を確認","名称候補一致; 手動確認; FC東久留米との同一店舗・移管関係を確認"
"EM-021","yayoi_excel","YAYOI-021","BASSA江古田店","江古田店","store","TBD","美容室事業","営業部候補","江古田店","not_required","Direct","not_required","BASSA江古田店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#22; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","Core実値と法人帰属を未取得","名称候補一致; 手動確認"
"EM-022","yayoi_excel","YAYOI-022","BASSA花小金井店","花小金井店","store","TBD","美容室事業","TBD","花小金井店","not_required","unknown","not_required","BASSA花小金井店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#23; ../../../accounting/yayoi-excel-structure-audit.md","medium","pending","pending","pending","pending","under_review","FC花小金井との同一店舗・移管関係を確認","名称候補一致; 手動確認; FC花小金井との同一店舗・移管関係を確認"
"EM-023","yayoi_excel","YAYOI-023","BASSAアネックス店","ANNEX店","store","TBD","美容室事業","営業部候補","ANNEX店","not_required","Direct","not_required","BASSAアネックス店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#24; ../../../accounting/yayoi-excel-structure-audit.md","medium","pending","pending","pending","pending","under_review","Core実値と法人帰属を未取得","名称候補一致; 手動確認"
"EM-024","yayoi_excel","YAYOI-024","BASSA池袋店","池袋店","store","TBD","美容室事業","営業部候補","池袋店","not_required","Direct","not_required","BASSA池袋店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#25; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","Core実値と法人帰属を未取得","名称候補一致; 手動確認"
"EM-025","yayoi_excel","YAYOI-025","BASSA野方店","野方店","store","TBD","美容室事業","営業部候補","野方店","not_required","Direct","not_required","BASSA野方店","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#26; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","Core実値と法人帰属を未取得","名称候補一致; 手動確認"
"EM-026","yayoi_excel","YAYOI-026","BASSA立川店","立川店","store","TBD","美容室事業","営業部候補","立川店","not_required","Direct","not_required","BASSA立川店","TBD","2025-09-01","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#27; ../../../accounting/yayoi-excel-structure-audit.md","high","pending","pending","pending","pending","proposed","FC立川とのeffective period重複を確認","名称候補一致; 手動確認; FC立川とのeffective period重複を確認"
"EM-027","yayoi_excel","YAYOI-027","EC事業部","EC事業部","department","TBD","EC事業","EC事業部","not_required","本部候補","unknown","not_required","EC事業部","TBD","2025-09-01","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#28; ../../../accounting/yayoi-excel-structure-audit.md","medium","pending","pending","not_required","pending","under_review","department UUIDと会計期間中の組織状態未確認","名称候補一致; 手動確認"
"EM-028","yayoi_excel","YAYOI-028","FC(合計)","FC(合計)","accounting_source_entity","TBD","コーポレート候補","TBD","not_required","not_required","unknown","not_required","FC(合計)","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#29; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","not_required","pending","blocked","法人ではなく会計部門rollupの可能性","不一致; Accounting集計node"
"EM-029","yayoi_excel","YAYOI-029","FC新所沢","新所沢店","store","TBD","美容室事業","FC事業部候補","新所沢店","not_required","FC","TBD (ALBERO/UNO/BIOEL/FILM/LUA候補)","FC新所沢","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#30; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","pending","pending","blocked","BASSA新所沢店との重複候補","部分一致; 手動確認; BASSA新所沢店との重複候補"
"EM-030","yayoi_excel","YAYOI-030","FC国分寺","国分寺店","store","TBD","美容室事業","FC事業部候補","国分寺店","not_required","FC","TBD (ALBERO/UNO/BIOEL/FILM/LUA候補)","FC国分寺","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#31; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","pending","pending","blocked","BASSA国分寺店との重複候補","部分一致; 手動確認; BASSA国分寺店との重複候補"
"EM-031","yayoi_excel","YAYOI-031","FC鷺ノ宮","鷺ノ宮店","store","TBD","美容室事業","FC事業部候補","鷺ノ宮店","not_required","FC","TBD (ALBERO/UNO/BIOEL/FILM/LUA候補)","FC鷺ノ宮","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#32; ../../../accounting/yayoi-excel-structure-audit.md","medium","pending","pending","pending","pending","under_review","Core正式店舗名と法人未確認","部分一致; 手動確認"
"EM-032","yayoi_excel","YAYOI-032","FC久米川","久米川店","store","TBD","美容室事業","FC事業部候補","久米川店","not_required","FC","TBD (ALBERO/UNO/BIOEL/FILM/LUA候補)","FC久米川","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#33; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","pending","pending","blocked","BASSA久米川店との重複候補","部分一致; 手動確認; BASSA久米川店との重複候補"
"EM-033","yayoi_excel","YAYOI-033","FC花小金井","花小金井店","store","TBD","美容室事業","FC事業部候補","花小金井店","not_required","FC","TBD (ALBERO/UNO/BIOEL/FILM/LUA候補)","FC花小金井","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#34; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","pending","pending","blocked","BASSA花小金井店との重複候補","部分一致; 手動確認; BASSA花小金井店との重複候補"
"EM-034","yayoi_excel","YAYOI-034","FC東久留米","東久留米店","store","TBD","美容室事業","FC事業部候補","東久留米店","not_required","FC","TBD (ALBERO/UNO/BIOEL/FILM/LUA候補)","FC東久留米","TBD","2024-09-01","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#35; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","pending","pending","blocked","BASSA東久留米店との重複候補","部分一致; 手動確認; BASSA東久留米店との重複候補"
"EM-035","yayoi_excel","YAYOI-035","FC立川","立川店","store","TBD","美容室事業","FC事業部候補","立川店","not_required","FC","TBD (ALBERO/UNO/BIOEL/FILM/LUA候補)","FC立川","TBD","2024-09-01","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#36; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","pending","pending","blocked","BASSA立川店との移管・期間重複候補","部分一致; 手動確認; BASSA立川店との移管・期間重複候補"
"EM-036","yayoi_excel","YAYOI-036","FCロアネ","Roane店","store","TBD","美容室事業","FC事業部候補","Roane店","not_required","FC","TBD (ALBERO/UNO/BIOEL/FILM/LUA候補)","FCロアネ","TBD","2025-09-01","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#37; ../../../accounting/yayoi-excel-structure-audit.md","medium","pending","pending","pending","pending","under_review","Core正式店舗名と法人未確認","部分一致; 手動確認"
"EM-037","yayoi_excel","YAYOI-037","FC(共通)","FC(共通)","accounting_source_entity","TBD","コーポレート候補","TBD","not_required","本部候補","unknown","not_required","FC(共通)","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#38; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","not_required","pending","blocked","FC各店へ配賦するか別表示か未決定","不一致; Accounting共通費node"
"EM-038","yayoi_excel","YAYOI-038","全体(共通)","全体(共通)","accounting_source_entity","TBD","コーポレート候補","TBD","not_required","本部候補","unknown","not_required","全体(共通)","TBD","TBD","TBD","active","TBD","../../../accounting/yayoi-entity-mapping.csv#39; ../../../accounting/yayoi-excel-structure-audit.md","low","pending","pending","not_required","pending","blocked","全社共通費の配賦rule未決定","不一致; Accounting共通費node"
